transaction_id,user_id,mechanic_id,service_type,time_of_request,time_taken,cost,user_feedback
txn_0,user_2106,mech_13,Suspension Fix,2024-04-24 17:06:54,31,2120.58,3.8
txn_1,user_2979,mech_91,Oil Change,2024-12-07 17:06:54,119,1426.81,4.8
txn_2,user_1687,mech_201,Engine Repair,2024-05-01 17:06:54,125,4305.23,4.5
txn_3,user_2201,mech_326,Battery Change,2024-04-26 17:06:54,92,4365.07,3.7
txn_4,user_1715,mech_174,General Service,2024-11-23 17:06:54,41,3178.46,4.3
txn_5,user_2708,mech_192,Brake Repair,2024-05-18 17:06:54,153,4884.27,3.1
txn_6,user_2269,mech_330,Transmission Repair,2024-06-03 17:06:54,39,1825.64,4.0
txn_7,user_1937,mech_1,Tire Replacement,2024-11-21 17:06:54,169,589.05,3.3
txn_8,user_1172,mech_178,Suspension Fix,2024-11-07 17:06:54,62,2925.56,4.4
txn_9,user_491,mech_333,Suspension Fix,2024-08-22 17:06:54,134,2874.18,4.2
txn_10,user_1527,mech_268,General Service,2024-05-15 17:06:54,152,2896.31,3.5
txn_11,user_1614,mech_272,Brake Repair,2024-09-28 17:06:54,63,3364.7,3.8
txn_12,user_1585,mech_245,Engine Repair,2025-01-21 17:06:54,77,1047.27,3.0
txn_13,user_2704,mech_229,Engine Repair,2024-03-31 17:06:54,148,1988.77,4.3
txn_14,user_2254,mech_112,Oil Change,2024-12-11 17:06:54,51,2707.31,3.7
txn_15,user_162,mech_440,Brake Repair,2024-12-01 17:06:54,38,1387.71,3.1
txn_16,user_2134,mech_14,AC Service,2024-06-19 17:06:54,119,3216.61,3.6
txn_17,user_1204,mech_209,Transmission Repair,2024-04-22 17:06:54,150,3152.22,4.6
txn_18,user_322,mech_60,General Service,2024-07-02 17:06:54,90,1048.44,4.4
txn_19,user_231,mech_68,Battery Change,2024-06-09 17:06:54,84,2847.8,3.4
txn_20,user_2896,mech_465,AC Service,2024-05-25 17:06:54,99,1673.96,4.5
